sku,infoDate,competitionType,competitor,competitorSku,label,price,currency,priceUnit,unitOfMeasure,priceType,priority,comments,country,source
MB-0008,2016-04-12T13:06:40,Online,rc-toy.de,,"92604. 28 - Graupner Kugellager, vorne",7.77,EUR,1,1,Online,,,de,idealo
MB-0008,2016-04-12T13:06:40,Online,d-edition.de,,"Graupner Kugellager, vorne",7.82,EUR,1,1,Online,,,de,idealo
MB-0008,2016-04-12T13:06:40,Online,Amazon Marketplace,,"Graupner 92604. 28  Kugellager, vorne",7.82,EUR,1,1,Online,,,de,idealo
MB-0008,2016-04-12T13:06:40,Online,eBay - rc-toy,,"92604. 28  Graupner Kugellager, vorne",8.99,EUR,1,1,Online,,,de,idealo
MB-0009,2016-04-12T13:06:40,Online,rc-toy.de,,90125. 10 - Graupner Stoßdämpfergehäuse und Kolbenstangen,8.54,EUR,1,1,Online,,,de,idealo
MB-0009,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Stoßdämpfergehäuse und Kolbenstangen,8.59,EUR,1,1,Online,,,de,idealo
MB-0009,2016-04-12T13:06:40,Online,eBay - rc-toy,,90125. 10  Graupner Stoßdämpfergehäuse und Kolbenstangen,8.99,EUR,1,1,Online,,,de,idealo
MB-0010,2016-04-12T13:06:40,Online,rc-toy.de,,1315. 25. 21 - Graupner 3-Blatt Luftschraube25x21 cm,7.75,EUR,1,1,Online,,,de,idealo
MB-0010,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Luftschraube 3 Blatt 25x21 cm,7.8,EUR,1,1,Online,,,de,idealo
MB-0010,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 1315. 25. 21  3Blatt Luftschraube 25 X 21cm,7.82,EUR,1,1,Online,,,de,idealo
MB-0010,2016-04-12T13:06:40,Online,eBay - rc-toy,,1315. 25. 21  Graupner 3Blatt Luftschraube25x21 cm,9.09,EUR,1,1,Online,,,de,idealo
MB-0011,2016-04-12T13:06:40,Online,rc-toy.de,,90190. 044 Graupner MRX5 Lagerschalen für die Schwingenachse,6.75,EUR,1,1,Online,,,de,idealo
MB-0011,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Lagerschalen für die Schwingenachse,6.8,EUR,1,1,Online,,,de,idealo
MB-0011,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 90190. 44  Lagerschalen für die Schwingenachse,7.82,EUR,1,1,Online,,,de,idealo
MB-0011,2016-04-12T13:06:40,Online,eBay - rc-toy,,90190. 044 Graupner MRX5 Lagerschalen für die Schwingenachse,8.99,EUR,1,1,Online,,,de,idealo
MB-0011,2016-04-12T13:06:40,Online,eBay - eco40,,Lagerschalen für die Schwingenachse Graupner 00190190. 44,9.99,EUR,1,1,Online,,,de,idealo
MB-0011,2016-04-12T13:06:40,Online,Amazon,,Graupner 90190. 44  Lagerschalen für die Schwingenachse,12.23,EUR,1,1,Online,,,de,idealo
MB-0013,2016-04-12T13:06:40,Online,Amazon,,Graupner 90190. 13  Dämpferkolbenstangen vorne,3.32,EUR,1,1,Online,,,de,idealo
MB-0013,2016-04-12T13:06:40,Online,rc-toy.de,,90190. 013 Graupner MRX5 Dämpferkolbenstangen vorne,6.75,EUR,1,1,Online,,,de,idealo
MB-0013,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Dämpferkolbenstangen vorne,6.8,EUR,1,1,Online,,,de,idealo
MB-0013,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 90190. 13  Dämpferkolbenstangen vorne,7.82,EUR,1,1,Online,,,de,idealo
MB-0013,2016-04-12T13:06:40,Online,eBay - rc-toy,,90190. 013 Graupner MRX5 Dämpferkolbenstangen vorne,8.99,EUR,1,1,Online,,,de,idealo
MB-0013,2016-04-12T13:06:40,Online,eBay - eco40,,Dämpferkolbenstangen vorne Graupner 00190190. 13,9.99,EUR,1,1,Online,,,de,idealo
MB-0014,2016-04-12T13:06:40,Online,rc-toy.de,,9378. 14 - Graupner Dekorbogen,7.77,EUR,1,1,Online,,,de,idealo
MB-0014,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 9378. 14  Dekorbogen,7.82,EUR,1,1,Online,,,de,idealo
MB-0014,2016-04-12T13:06:40,Online,eBay - rc-toy,,9378. 14  Graupner Dekorbogen,8.99,EUR,1,1,Online,,,de,idealo
MB-0015,2016-04-12T13:06:40,Online,rc-toy.de,,9356. 14 - Graupner Dekorbogen zu Twister,7.75,EUR,1,1,Online,,,de,idealo
MB-0015,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Dekorbogen zu Twister,7.81,EUR,1,1,Online,,,de,idealo
MB-0015,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 9356. 14  Dekorbogen zu Twister,7.82,EUR,1,1,Online,,,de,idealo
MB-0015,2016-04-12T13:06:40,Online,eBay - rc-toy,,9356. 14  Graupner Dekorbogen zu Twister,8.99,EUR,1,1,Online,,,de,idealo
MB-0016,2016-04-12T13:06:40,Online,rc-toy.de,,90170. 112 - Graupner Dämpferfedern hintenschwarz (hart) (2),8.07,EUR,1,1,Online,,,de,idealo
MB-0016,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Dämpferfedern hinten schwarz (hart) (2),8.12,EUR,1,1,Online,,,de,idealo
MB-0016,2016-04-12T13:06:40,Online,eBay - rc-toy,,90170. 112  Graupner Dämpferfedern hintenschwarz (hart) (2),8.99,EUR,1,1,Online,,,de,idealo
MB-0016,2016-04-12T13:06:40,Online,Amazon Marketplace - CMC Versand,,Graupner 90170. 112  Dämpferfedern hinten schwarz (hart) (2),11.48,EUR,1,1,Online,,,de,idealo
